nombre,apellido1,apellido2,dni,fecha_nacimiento,telefono,email,direccion,CP,ciudad,IBAN,alta,baja,activo
Madaline Hess,Vestibulum,Proin,39448178O,11/09/2024,501-77-57-15,at.pretium@aol.net,524 Mattis Road,96346,Melilla,HR7812783515313891476,07/07/2023,03/12/2023,Y
Ray Witt,congue,"luctus,",32444516R,20/08/2023,967-68-43-28,eros.proin@outlook.org,"P.O. Box 965, 6113 Egestas Road",89415,Extremadura,TR127531260512898857539006,17/09/2024,30/12/2022,N
Daria Osborn,vel,"at,",08963328H,26/12/2022,132-52-43-82,sed.sapien@google.couk,380-7797 Mi Rd.,40220,Madrid,MC5714122324664563137149558,29/03/2023,11/11/2023,Y
Janna Vega,sapien,hendrerit,86847542R,07/09/2024,822-44-12-68,nunc.ullamcorper.eu@google.org,"P.O. Box 783, 7693 Dui Av.",62541,Melilla,PS755739651580780738871815571,14/08/2023,08/05/2023,Y
Ulric Estrada,urna.,enim.,53445260V,30/08/2024,742-25-77-34,dui.cras@protonmail.ca,269-224 Pellentesque Av.,54345,Castilla - La Mancha,GT84878943537045665712723065,02/08/2024,13/04/2023,Y
Karleigh Lopez,eu,Praesent,03364146I,23/06/2023,782-63-05-10,ac.urna@outlook.edu,Ap #262-8229 Dignissim Av.,05284,Extremadura,GR3508778548429539564997608,30/04/2023,26/11/2024,Y
Hyacinth Mcbride,orci.,nec,37289320Y,07/02/2023,452-98-03-25,est.congue@yahoo.com,"P.O. Box 727, 7358 Facilisis Road",71149,Andalucía,GR3984555732192360813939422,01/07/2023,02/07/2024,N
Skyler Evans,diam,ante,52496632U,24/12/2023,079-86-83-29,auctor.nunc@protonmail.ca,714-9178 Nec Avenue,92849,Galicia,PS296433872795476611411985650,30/12/2022,08/05/2023,Y
Richard Kline,"sapien,",venenatis,65383909V,12/05/2024,345-45-54-51,placerat.orci@protonmail.net,762-7957 Lacus. St.,01104,Aragón,NL02BSUG7277946650,31/07/2024,07/07/2024,N
Nelle Marsh,Vivamus,"at,",50273883Z,27/10/2024,707-61-60-85,adipiscing.ligula@protonmail.com,Ap #808-1995 Dolor Rd.,56680,Galicia,CY10286494187884534684418530,04/01/2024,17/06/2024,Y
